Total.Enrollment,Grade.PK,Grade.K,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Female,Male,Asian,Black,Hispanic,Others,White,Disabled.Students,English.Learners,Poverty
1034,0,0,0,0,0,0,0,323,330,381,0,0,0,0,487,547,520,102,197,14,201,184,72,689
1073,0,0,0,0,0,0,0,391,342,340,0,0,0,0,517,556,479,95,216,21,262,183,69,667
1113,0,0,0,0,0,0,0,366,401,346,0,0,0,0,489,624,441,90,235,35,312,199,52,621
1145,0,0,0,0,0,0,0,373,369,403,0,0,0,0,514,631,412,86,215,44,388,201,53,529
1134,0,0,0,0,0,0,0,368,378,388,0,0,0,0,529,605,382,85,215,59,393,193,47,497
533,36,56,42,56,53,49,49,59,66,67,0,0,0,0,268,265,65,87,307,9,65,153,83,337
465,45,58,51,45,52,48,48,0,54,64,0,0,0,0,236,229,69,76,257,10,53,137,54,282
393,37,59,51,43,48,52,51,0,0,52,0,0,0,0,192,201,71,63,195,14,50,117,48,197
334,43,42,57,48,45,47,52,0,0,0,0,0,0,0,158,176,57,47,157,11,62,84,51,173
395,46,58,48,76,51,58,58,0,0,0,0,0,0,0,177,218,66,59,188,15,67,80,49,238
443,0,0,0,0,0,0,0,156,144,143,0,0,0,0,232,211,54,15,44,7,323,71,0,62
449,0,0,0,0,0,0,0,151,152,146,0,0,0,0,231,218,66,14,46,18,305,73,0,51
441,0,0,0,0,0,0,0,149,142,150,0,0,0,0,230,211,66,13,40,32,290,64,0,41
443,0,0,0,0,0,0,0,151,147,145,0,0,0,0,231,212,62,14,40,38,289,70,0,31
450,0,0,0,0,0,0,0,148,150,152,0,0,0,0,247,203,55,16,40,35,304,71,0,49
724,0,109,128,134,115,105,133,0,0,0,0,0,0,0,368,356,138,63,159,51,313,112,66,270
696,54,96,95,113,117,117,104,0,0,0,0,0,0,0,343,353,131,66,145,45,309,109,59,251
638,47,72,92,89,101,113,124,0,0,0,0,0,0,0,312,326,126,56,138,40,278,108,68,222
585,46,87,72,86,75,99,120,0,0,0,0,0,0,0,285,300,122,63,123,37,240,115,56,211
539,47,86,84,68,85,75,94,0,0,0,0,0,0,0,273,266,112,63,109,37,218,89,44,193
866,36,101,138,153,145,149,144,0,0,0,0,0,0,0,393,473,812,7,29,5,13,86,278,432
864,72,120,104,136,146,142,144,0,0,0,0,0,0,0,389,475,815,5,26,3,15,82,281,402
810,71,117,118,99,131,141,133,0,0,0,0,0,0,0,373,437,767,3,22,6,12,83,238,368
785,71,121,114,108,100,137,134,0,0,0,0,0,0,0,382,403,741,2,16,14,12,90,239,336
724,56,100,118,113,103,95,139,0,0,0,0,0,0,0,355,369,683,0,15,14,12,92,221,394
